ts;humidity;light;motion;temperature;vdd
1591851921590;69;28;0;20.4;3561
1591852221578;69;29;0;20.4;3563
1591852521588;69;29;0;20.4;3563
1591852821580;69;29;0;20.5;3561
1591853121553;69;30;0;20.5;3561
1591853421514;69;32;0;20.5;3563
1591853721501;69;39;0;20.5;3561
1591854021466;69;36;0;20.4;3563
1591854321468;69;33;0;20.5;3563
1591854621454;69;34;0;20.5;3563
1591855221468;69;33;0;20.5;3561
1591855521430;69;33;0;20.6;3563
1591855821419;69;32;0;20.5;3563
1591856121374;69;32;0;20.6;3561
1591856421363;69;33;0;20.6;3563
1591856721345;69;34;0;20.6;3563
1591857021328;69;35;0;20.6;3563
1591857321337;69;34;0;20.6;3561
1591857621327;69;34;0;20.6;3563
1591857921310;69;32;0;20.6;3561
1591858221287;69;35;0;20.6;3566
1591858521246;69;32;0;20.7;3566
1591858821222;69;35;0;20.7;3561
1591859121222;69;33;0;20.7;3563
1591859421193;69;34;0;20.7;3566
1591859721205;69;34;0;20.7;3566
1591860021196;69;35;0;20.7;3566
1591860321185;69;36;0;20.7;3566
1591860621160;69;37;0;20.8;3561
1591861221120;69;37;0;20.8;3563
1591861521094;69;38;0;20.8;3563
1591861821075;69;37;0;20.8;3566
1591862121072;69;38;0;20.9;3563
1591862421074;69;37;0;20.9;3563
1591862721062;69;37;0;20.8;3566
1591863021047;69;37;0;20.9;3563
1591863321036;69;37;0;20.9;3566
1591863621029;69;37;0;20.9;3566
1591863921012;69;37;0;20.9;3566
1591864220962;69;37;0;20.9;3563
1591864520945;69;38;0;20.9;3566
1591864820946;69;38;0;20.9;3566
1591865120939;69;38;0;21;3566
1591865420931;69;39;0;21;3563
1591865720911;69;40;0;21;3563
1591866020893;69;38;0;21;3566
1591866320859;69;38;0;21;3563
1591866620836;69;38;0;21;3566
1591866920834;69;39;0;21.1;3566
1591867220812;69;39;0;21.1;3566
1591867520827;69;40;0;21.1;3563
1591867820799;69;41;0;21;3566
1591868120788;69;41;0;21.1;3566
1591868420773;69;42;0;21.1;3566
1591868720737;69;40;0;21.1;3566
1591869020715;69;38;0;21.1;3566
1591869320703;69;38;0;21.1;3566
1591869620689;69;37;0;21.1;3563
1591869920686;69;37;0;21.2;3566
1591870520661;69;35;0;21.1;3566
1591870820654;69;34;0;21.3;3566
1591871120637;69;34;0;21.2;3566
1591871420601;69;33;0;21.3;3563
1591871720565;69;34;0;21.3;3566
1591872020566;69;35;0;21.3;3566
1591872320551;69;35;0;21.2;3566
1591872620553;69;34;0;21.2;3566
1591873220533;69;33;0;21.3;3566
1591873520509;69;33;0;21.3;3566
1591873820486;69;33;0;21.3;3566
1591874120464;69;33;0;21.3;3566
1591874420464;69;34;0;21.3;3566
1591874720430;69;35;0;21.3;3566
1591875020427;69;33;0;21.3;3566
1591875320415;69;34;0;21.3;3566
1591875620402;69;35;0;21.3;3566
1591875920383;69;35;0;21.4;3566
1591876220370;69;35;0;21.4;3566
1591876820324;69;38;0;21.3;3566
1591877120296;69;41;0;21.4;3566
1591877420294;69;42;0;21.4;3566
1591877720298;69;49;0;21.4;3566
1591878020277;69;54;0;21.4;3566
1591878320263;69;47;0;21.4;3566
1591878620243;69;44;0;21.4;3566
1591878920209;68;43;0;21.5;3566
1591879220179;69;43;0;21.4;3566
1591879520167;68;44;0;21.5;3566
1591879820153;68;57;0;21.5;3566
1591880120161;68;61;0;21.5;3566
1591880720137;68;70;0;21.5;3566
1591881020126;68;62;0;21.5;3566
1591881320079;68;52;0;21.5;3566
1591881920058;68;51;0;21.6;3566
1591882220042;68;25;0;21.6;3566
1591882520037;68;60;0;21.6;3566
1591882820032;68;70;0;21.6;3566
1591883120000;68;91;0;21.6;3566
1591883420007;68;110;0;21.5;3566
1591883720002;68;126;0;21.6;3566
1591884019951;68;135;0;21.7;3566
1591884619926;68;127;0;21.7;3566
1591884919900;68;131;0;21.6;3566
1591885219907;68;137;0;21.7;3566
1591885519895;67;152;0;21.7;3566
1591885819868;67;141;0;21.7;3568
1591886119866;67;144;0;21.7;3566
1591886419834;67;161;0;21.8;3566
1591886719815;67;158;0;21.8;3566
1591887019801;67;160;0;21.8;3566
1591887319780;67;179;0;21.8;3566
1591887919766;67;167;0;21.8;3568
1591888219754;67;141;0;21.9;3566
1591888519743;67;113;0;21.9;3568
1591888819730;67;77;0;21.9;3568
1591889119691;67;56;0;21.9;3568
1591889419666;67;43;0;21.9;3566
1591889719655;67;40;0;21.9;3566
1591890319622;67;12;0;21.8;3566
1591890619632;67;9;0;21.8;3568
1591890919621;67;8;0;21.8;3566
1591891219612;67;7;0;21.8;3568
1591891519568;67;6;0;21.8;3568
1591891819555;67;5;0;21.8;3568
1591892119538;67;6;0;21.8;3568
1591892419523;67;6;0;21.7;3566
1591892719511;67;5;0;21.8;3571
1591893019519;67;5;0;21.7;3566
1591893319526;67;4;0;21.7;3566
1591893619476;67;3;0;21.7;3568
1591894519411;67;1;0;21.7;3568
1591894819410;67;1;0;21.7;3566
1591895119388;67;1;0;21.7;3566
